,EL,ER,SL,SR
0,0.0,45.99930555555556,49.0,49.99930555555556
1,14.0,43.99930555555556,44.0,54.99930555555556
2,39.0,49.375,53.0,53.5
3,0.0,35.99930555555556,35.0,35.99930555555556
4,0.0,43.99930555555556,0.0,43.99930555555556
5,14.0,33.99930555555556,33.0,33.99930555555556
6,0.0,50.708333333333336,50.708333333333336,50.99930555555556
7,0.0,36.99930555555556,45.0,45.99930555555556
8,0.0,48.99930555555556,54.0,54.99930555555556
9,0.0,51.99930555555556,51.0,51.99930555555556
10,0.0,45.99930555555556,0.0,45.99930555555556
11,0.0,49.99930555555556,49.0,49.99930555555556
12,0.0,53.99930555555556,53.0,53.99930555555556
13,0.0,52.99930555555556,53.0,53.99930555555556
14,0.0,39.99930555555556,39.0,43.99930555555556
15,0.0,50.99930555555556,50.0,50.99930555555556
16,0.0,51.56944444444444,51.0,51.829166666666666
17,0.0,49.99930555555556,0.0,49.99930555555556
18,0.0,48.99930555555556,48.0,48.99930555555556
19,0.0,40.99930555555556,40.0,40.99930555555556
20,40.0,48.99930555555556,48.0,48.99930555555556
21,0.0,49.50486111111111,50.0,50.99930555555556
22,0.0,44.99930555555556,44.0,44.99930555555556
23,0.0,53.99930555555556,53.0,53.99930555555556
24,0.0,53.99930555555556,53.0,53.99930555555556
25,0.0,0.0,0.0,0.0
26,0.0,50.99930555555556,0.0,50.99930555555556
27,0.0,51.99930555555556,53.0,53.99930555555556
28,0.0,50.99930555555556,50.0,50.99930555555556
29,40.0,44.99930555555556,40.0,44.99930555555556
30,0.0,52.99930555555556,52.0,53.99930555555556
31,0.0,53.375,0.0,53.99930555555556
32,0.0,52.0,55.5,55.75
33,0.0,53.75,55.5,55.75
34,28.0,33.99930555555556,33.0,33.99930555555556
35,0.0,43.99930555555556,47.0,47.99930555555556
36,43.0,47.99930555555556,50.0,50.99930555555556
37,0.0,42.99930555555556,40.0,40.99930555555556
38,0.0,33.99930555555556,34.0,34.99930555555556
39,0.0,45.99930555555556,45.0,45.99930555555556
40,0.0,41.99930555555556,41.0,41.99930555555556
41,0.0,47.99930555555556,0.0,47.99930555555556
42,0.0,45.99930555555556,46.0,46.99930555555556
43,0.0,52.666666666666664,0.0,52.666666666666664
44,19.0,39.99930555555556,40.0,40.99930555555556
45,0.0,32.99930555555556,0.0,40.99930555555556
46,0.0,41.99930555555556,41.0,41.99930555555556
47,0.0,47.99930555555556,0.0,50.99930555555556
48,0.0,50.99930555555556,52.0,52.99930555555556
49,46.0,50.99930555555556,50.0,50.99930555555556
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,50.0,52.916666666666664,53.0,55.49791666666667
54,50.0,52.916666666666664,53.0,55.49791666666667
55,50.0,52.916666666666664,53.0,55.49791666666667
56,33.0,34.99930555555556,39.0,39.99930555555556
57,38.0,46.99930555555556,46.0,46.99930555555556
58,0.0,44.99930555555556,44.0,44.99930555555556
59,42.0,45.99930555555556,49.0,49.99930555555556
60,0.0,49.99930555555556,0.0,0.0
61,0.0,42.99930555555556,46.5,46.75
62,0.0,48.99930555555556,0.0,49.99930555555556
63,0.0,40.99930555555556,0.0,40.99930555555556
64,0.0,42.99930555555556,0.0,42.99930555555556
65,0.0,49.99930555555556,0.0,49.99930555555556
66,41.0,47.99930555555556,48.0,48.99930555555556
67,0.0,52.99930555555556,53.0,53.99930555555556
68,0.0,51.99930555555556,0.0,51.99930555555556
69,0.0,43.99930555555556,44.0,44.99930555555556
70,0.0,53.99930555555556,55.0,55.99930555555556
71,39.0,48.99930555555556,0.0,55.99930555555556
72,0.0,51.79097222222222,51.5,51.79097222222222
73,0.0,52.916666666666664,0.0,53.770833333333336
74,0.0,53.99930555555556,53.0,53.99930555555556
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,43.0,52.99930555555556,52.0,52.99930555555556
78,0.0,48.99930555555556,51.708333333333336,51.99930555555556
79,0.0,52.99930555555556,53.0,53.99930555555556
80,0.0,45.0,51.0,51.625
81,0.0,51.0,52.645833333333336,52.6875
82,0.0,50.99930555555556,51.0,51.99930555555556
83,51.0,51.99930555555556,55.0,56.99930555555556
84,0.0,48.99930555555556,54.0,54.99930555555556
85,0.0,49.99930555555556,55.0,55.99930555555556
86,0.0,53.99930555555556,54.0,54.99930555555556
87,38.0,44.99930555555556,44.0,44.99930555555556
88,0.0,49.99930555555556,55.0,55.99930555555556
89,0.0,53.16458333333333,55.0,55.99930555555556
90,0.0,0.0,0.0,0.0
91,40.0,41.99930555555556,44.0,44.99930555555556
92,42.0,47.99930555555556,49.0,49.99930555555556
93,43.0,47.99930555555556,43.0,47.99930555555556
94,-42.0,55.99930555555556,55.0,55.99930555555556
95,0.0,52.99930555555556,55.0,55.99930555555556
96,0.0,52.99930555555556,55.0,55.99930555555556
97,50.0,55.99930555555556,56.0,56.99930555555556
98,0.0,81.8125,0.0,81.8125
99,0.0,0.0,0.0,0.0
100,0.0,54.99930555555556,55.0,61.708333333333336
101,0.0,53.99930555555556,56.0,56.99930555555556
102,0.0,55.99930555555556,55.0,55.99930555555556
103,0.0,55.99930555555556,55.0,55.99930555555556
104,0.0,50.99930555555556,52.0,52.99930555555556
105,0.0,53.99930555555556,53.0,53.99930555555556
106,0.0,53.99930555555556,54.0,54.99930555555556
107,0.0,52.99930555555556,55.5,55.99930555555556
108,0.0,50.99930555555556,52.0,52.5
109,0.0,59.99930555555556,59.708333333333336,59.99930555555556
110,0.0,59.99930555555556,59.708333333333336,59.99930555555556
111,0.0,51.99930555555556,51.0,56.99930555555556
112,42.0,50.99930555555556,50.0,50.99930555555556
113,42.0,56.99930555555556,57.0,57.99930555555556
114,0.0,42.99930555555556,42.0,42.99930555555556
115,0.0,59.354166666666664,0.0,59.354166666666664
116,23.0,43.99930555555556,55.0,56.99930555555556
117,0.0,50.99930555555556,54.0,54.99930555555556
118,46.0,52.708333333333336,53.0,53.99930555555556
119,47.0,52.99930555555556,50.0,50.99930555555556
120,0.0,54.99930555555556,56.0,56.99930555555556
121,52.0,52.99930555555556,0.0,57.99930555555556
122,0.0,53.99930555555556,56.0,56.99930555555556
123,54.0,60.99930555555556,0.0,62.63611111111111
124,0.0,62.99930555555556,64.0,64.99930555555555
125,0.0,52.99930555555556,53.0,53.99930555555556
126,0.0,51.99930555555556,53.0,53.99930555555556
127,70.0,82.99930555555555,84.0,85.99930555555555
128,0.0,48.99930555555556,48.708333333333336,48.99930555555556
129,0.0,48.99930555555556,49.0,49.99930555555556
130,0.0,53.99930555555556,54.0,54.99930555555556
131,49.0,52.99930555555556,53.708333333333336,53.99930555555556
132,0.0,51.99930555555556,54.0,54.99930555555556
133,0.0,47.99930555555556,49.0,49.99930555555556
134,0.0,45.99930555555556,46.0,46.99930555555556
135,0.0,48.99930555555556,50.0,50.99930555555556
136,0.0,43.99930555555556,50.0,50.99930555555556
137,0.0,43.99930555555556,48.0,48.99930555555556
138,0.0,40.99930555555556,48.0,48.99930555555556
139,0.0,47.99305555555556,48.0,48.99930555555556
140,45.0,50.99930555555556,50.0,50.99930555555556
141,0.0,49.99930555555556,49.0,53.99930555555556
142,42.0,45.70763888888889,50.0,50.99930555555556
143,42.0,44.99930555555556,46.0,46.99930555555556
144,45.0,47.99930555555556,50.0,50.99930555555556
145,0.0,45.99930555555556,40.0,40.99930555555556
146,43.0,48.99930555555556,48.0,48.99930555555556
147,43.0,48.99930555555556,48.0,48.99930555555556
148,0.0,52.99930555555556,50.0,50.99930555555556
149,0.0,51.99930555555556,51.0,51.99930555555556
150,0.0,53.99930555555556,51.0,51.99930555555556
151,0.0,48.99930555555556,52.0,52.99930555555556
152,0.0,48.99930555555556,52.0,52.99930555555556
153,49.0,54.99930555555556,53.0,53.99930555555556
154,0.0,52.99930555555556,53.0,53.99930555555556
155,0.0,52.99930555555556,54.0,54.99930555555556
156,41.0,44.99930555555556,49.0,49.99930555555556
157,41.0,49.99930555555556,50.0,50.99930555555556
158,40.0,42.99930555555556,44.0,44.5
159,0.0,45.99930555555556,46.0,46.99930555555556
160,0.0,48.99930555555556,49.0,49.99930555555556
161,41.0,52.99930555555556,52.0,52.99930555555556
162,49.0,49.99930555555556,55.0,55.99930555555556
163,0.0,49.99930555555556,0.0,55.979166666666664
164,0.0,53.99930555555556,55.0,55.99930555555556
165,48.0,50.99930555555556,54.0,54.99930555555556
166,0.0,50.99930555555556,51.0,51.99930555555556
167,0.0,37.99930555555556,44.0,44.99930555555556
168,0.0,53.99930555555556,53.0,53.99930555555556
169,39.0,50.99930555555556,50.0,50.99930555555556
170,0.0,48.99930555555556,51.0,0.0
171,0.0,50.99930555555556,51.0,51.99930555555556
172,0.0,54.99930555555556,57.0,57.99930555555556
173,0.0,56.99930555555556,56.0,56.99930555555556
174,0.0,52.875,58.0,58.99930555555556
175,0.0,56.99930555555556,58.0,58.99930555555556
176,0.0,60.99930555555556,60.0,60.99930555555556
177,0.0,52.99930555555556,53.0,53.99930555555556
178,0.0,60.99930555555556,60.0,60.99930555555556
179,0.0,59.958333333333336,60.0,60.99930555555556
180,46.0,53.99930555555556,53.0,59.99930555555556
181,0.0,48.99930555555556,53.0,53.99930555555556
